MES;CLIENTE;LINEA_RENOVADO;PLAZO_RENOVADO;FLAG_VENTA;USO_LINEA_TOTAL_TC_T2;USO_TRIM_LINEA_BBVA;NR_ENTIDADES_TOTAL_T2;DIFF_NRO_ENTIDA_TOTALES_T2_T12;SDO_CONSUMO_T2;RESENCIA_OFERTA_PLD_RENOVADO;Ahorro_Sldo_Bco_T1;PConsumo_Sldo_Bco_T1;SDO_BCO_tot_sm_pasivo_Bco_6M;EDAD;SEXO;EST_CIVIL;ANTIGUEDAD_MES;REGION;FLAG_LIMA_PROVINCIA;SUELDO_ESTIMADO;CUBRIR_DEUDA_CONSUMO_SF_RENOVA_PLD
201505;104;19500;12;0;0.001925;0;2;1;5344.07;6;75400;10474;154373.6667;39;M;S;62;LIMA NORTE;1;16393;0.274054
201505;105;5265;36;0;0;0;1;0;2224;21;964;4448;945.333333;36;F;U;83;ORIENTE;0;1689;0.422412
201505;106;13195;36;0;0.146666;0.145098;1;0;7854.93;11;1182;15014;848.166666;34;F;S;50;LIMA MODERNA;1;3403;0.595295
201505;107;4550;24;0;0.801592;0.396036;3;-2;5954.32;;3222;0;5688.833333;33;F;S;58;LIMA SUR;1;3691;1.30864
201505;108;13000;18;0;;;1;-1;4270.14;21;4780;9694;4040.666666;36;M;C;39;ORIENTE;0;4669;0.328472
201505;109;23400;36;0;;;2;0;12778.56;;214;26290;214;53;F;S;53;LIMA SUR;1;3914.68;0.546092
201505;110;17810;36;0;;;2;1;7234.11;11;46690;14062;23285.5;34;F;S;75;SUR;0;1975;0.406182
201505;111;13146;24;0;0;0;3;-2;11547.73;;680;18534;14515;33;M;C;110;CENTRO;0;2263;0.878421
201505;112;12502;24;0;0.314541;0.03673;4;-1;17827;;186;7374;14924.33333;33;M;S;114;LIMA MODERNA;1;2255.69;1.42593
201505;113;13000;36;0;0.079764;0.193411;1;1;6277.61;6;176;13246;7266.5;33;F;C;79;LIMA CENTRO;1;2389;0.482893
201505;114;15600;18;0;;;1;-1;6326.94;20;17406;13948;17296.66667;33;M;S;47;LIMA ESTE;1;4379;0.405573
201505;115;25675;36;0;0.148638;0;3;0;16469.63;21;1932;20276;2232.166666;33;M;S;30;CENTRO;0;4661;0.641465
201505;116;3900;24;0;0;0;2;-1;2373.52;;29194;4832;54607.5;34;M;S;50;SUR;0;7919;0.608594
201505;117;32500;24;0;0.11162;0;2;0;3236.59;15;20720;0;6671.666666;37;F;S;78;NORTE;0;12484;0.099587
201505;118;16477;36;1;0.06726;0;2;0;10170.42;;0;20002;0;34;F;C;25;NORTE;0;600;0.617249
201505;119;13000;36;0;0.009395;0;3;-1;9319.22;;1734;15290;562.666666;36;M;C;170;LIMA ESTE;1;2913.45;0.716863
201505;120;15275;36;0;0.1375;0.243666;1;2;8284.63;20;582;16062;16376.66667;34;M;C;59;SUR;0;3989;0.542365
201505;121;10985;36;0;0.249705;0.501166;4;-1;10783.43;;134;13874;369;33;M;S;77;LIMA PROVINCIA;1;2307;0.98165
201505;122;3900;36;0;;;1;0;2018.34;15;152;4196;10752;34;F;S;89;LIMA NORTE;1;1479;0.517523
201505;123;8450;36;0;;;2;0;3736.43;21;4174;5124;15576.5;33;F;S;56;CALLAO;0;2333;0.442181
201505;124;23029;36;0;0.230794;0.389213;2;0;5545.07;9;0;4152;0;33;M;S;43;LIMA SUR;1;2359.63;0.240786
201505;125;1950;36;0;;;2;1;1315.02;21;1718;1760;1052;33;F;S;100;LIMA CENTRO;1;1326;0.674369
201505;126;33800;36;0;0;0.006026;3;0;19067.39;15;1012;38170;1674.666666;33;M;S;63;CENTRO;0;10616;0.564123
201505;127;19500;18;0;0.232188;0.048;2;0;13212.08;18;10098;2190;24466.66667;35;M;S;46;LIMA SUR;1;7110;0.677542
201505;128;9100;12;0;0;0.012029;2;0;223.16;18;10666;12904;3396;38;F;C;60;LIMA ESTE;1;6304;0.024523
201505;129;26000;48;0;0.456885;0.890433;2;1;28018.87;11;14360;30830;12714.66667;34;M;C;103;CALLAO;0;4830;1.07765
201505;130;13000;24;0;0.215384;0;2;-2;6962.59;10;10;13392;310.75;34;M;S;39;LIMA PROVINCIA;1;2228;0.535583
201505;131;18980;24;0;0.376605;0.0575;5;-1;13253.85;5;2876;16780;7056.833333;36;F;S;24;LIMA PROVINCIA;1;3697;0.698306
201505;132;1950;12;0;;;1;-1;662.74;11;170;1524;851.833333;33;M;C;144;SUR;0;4341;0.339866
201505;133;39000;12;0;0;0;1;-1;17728.26;11;3188;39528;37973.16667;33;F;S;96;LIMA MODERNA;1;6876;0.45457
201505;134;2600;18;0;0.170812;0;1;1;3255.17;7;8412;0;3171;35;M;S;115;LIMA MODERNA;1;1971;1.25199
201505;135;19194;24;1;0.379137;0.478581;3;-2;16746.44;;2686;10926;4505.333333;33;F;S;33;NORTE;0;1047;0.872483
201505;136;15470;36;0;0;0;1;0;7126.2;21;0;14582;0;35;M;S;25;NORTE;0;2476.4;0.460646
201505;137;22468;36;1;0.029521;0.043137;1;-1;70183.35;7;2652;148074;18362.83333;33;F;C;49;LIMA CENTRO;1;8054;3.1237
201505;138;13000;36;0;0.172532;0.28173;2;0;9716.11;21;1744;7430;7699.666666;34;M;U;76;LIMA NORTE;1;7881;0.747393
201505;139;46150;48;0;0.042938;0.075436;2;-1;23926.42;20;3572;47034;4545.833333;33;M;S;72;LIMA MODERNA;1;6876;0.518448
201505;140;13000;24;0;0;0;2;-2;5483.46;15;1176;11882;3115.833333;34;M;S;145;LIMA NORTE;1;650;0.421804
201505;141;18590;36;0;0;0;1;-1;11206.61;;0;22510;0;38;M;S;33;LIMA SUR;1;2207.82;0.60283
201505;142;26009;36;0;0.362454;0.639534;2;-1;14503.08;21;1810;20796;2876.666666;34;M;S;175;LIMA NORTE;1;3081;0.557617
201505;143;26000;36;0;0.305576;0;4;-1;25336.1;;1814;32632;4115.833333;36;F;S;70;LIMA CENTRO;1;4768.42;0.974465
